date,home_team,home_team_score,id,period,postseason,season,status,time,visitor_team,visitor_team_score,home_team_id,home_team_abbreviation,home_team_city,home_team_conference,home_team_division,home_team_full_name,home_team_name,visitor_team_id,visitor_team_abbreviation,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_team_full_name,visitor_team_name
2019-05-07T00:00:00.000Z,"{'id': 8, 'abbreviation': 'DEN', 'city': 'Denver', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Denver Nuggets', 'name': 'Nuggets'}",124,61858,4,True,2018,Final,     ,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",98,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
2019-05-23T00:00:00.000Z,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",99,62353,4,True,2018,Final,     ,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",105,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
2019-05-25T00:00:00.000Z,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",100,62355,4,True,2018,Final,     ,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",94,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
2019-05-18T00:00:00.000Z,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",99,62348,4,True,2018,Final,     ,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",110,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
2019-06-07T00:00:00.000Z,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",92,62483,4,True,2018,Final,     ,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",105,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
2019-05-09T00:00:00.000Z,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",119,61861,4,True,2018,Final,     ,"{'id': 8, 'abbreviation': 'DEN', 'city': 'Denver', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Denver Nuggets', 'name': 'Nuggets'}",108,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
2019-05-14T00:00:00.000Z,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",116,62344,4,True,2018,Final,     ,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",94,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
2019-05-30T00:00:00.000Z,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",118,62480,4,True,2018,Final,     ,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",109,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
2019-06-10T00:00:00.000Z,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",105,62484,4,True,2018,Final,     ,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",106,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
2019-05-15T00:00:00.000Z,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",108,62345,4,True,2018,Final,     ,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",100,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
2019-05-19T00:00:00.000Z,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",118,62349,6,True,2018,Final,     ,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",112,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
2019-06-02T00:00:00.000Z,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",104,62481,4,True,2018,Final,     ,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",109,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
2019-05-20T00:00:00.000Z,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",117,62350,5,True,2018,Final,     ,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",119,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
2019-05-16T00:00:00.000Z,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",114,62346,4,True,2018,Final,     ,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",111,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
2019-06-13T00:00:00.000Z,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",110,62485,4,True,2018,Final,     ,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",114,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
2019-06-05T00:00:00.000Z,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",109,62482,4,True,2018,Final,     ,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",123,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
